Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,s1-brdr1,Ethernet2,10.255.0.5/31,spine,s1-spine1,Ethernet7,10.255.0.4/31
l3leaf,s1-brdr1,Ethernet3,10.255.0.7/31,spine,s1-spine2,Ethernet7,10.255.0.6/31
l3leaf,s1-brdr2,Ethernet2,10.255.0.13/31,spine,s1-spine1,Ethernet8,10.255.0.12/31
l3leaf,s1-brdr2,Ethernet3,10.255.0.15/31,spine,s1-spine2,Ethernet8,10.255.0.14/31
l3leaf,s1-leaf1,Ethernet2,10.255.0.53/31,spine,s1-spine1,Ethernet2,10.255.0.52/31
l3leaf,s1-leaf1,Ethernet3,10.255.0.55/31,spine,s1-spine2,Ethernet2,10.255.0.54/31
l3leaf,s1-leaf2,Ethernet2,10.255.0.61/31,spine,s1-spine1,Ethernet3,10.255.0.60/31
l3leaf,s1-leaf2,Ethernet3,10.255.0.63/31,spine,s1-spine2,Ethernet3,10.255.0.62/31
l3leaf,s1-leaf3,Ethernet2,10.255.0.69/31,spine,s1-spine1,Ethernet4,10.255.0.68/31
l3leaf,s1-leaf3,Ethernet3,10.255.0.71/31,spine,s1-spine2,Ethernet4,10.255.0.70/31
l3leaf,s1-leaf4,Ethernet2,10.255.0.77/31,spine,s1-spine1,Ethernet5,10.255.0.76/31
l3leaf,s1-leaf4,Ethernet3,10.255.0.79/31,spine,s1-spine2,Ethernet5,10.255.0.78/31
