Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,s2-brdr1,Ethernet1,mlag_peer,s2-brdr2,Ethernet1,True
l3leaf,s2-brdr1,Ethernet2,spine,s2-spine1,Ethernet7,True
l3leaf,s2-brdr1,Ethernet3,spine,s2-spine2,Ethernet7,True
l3leaf,s2-brdr1,Ethernet4,other,s2-core1,Ethernet2,True
l3leaf,s2-brdr1,Ethernet5,other,s2-core2,Ethernet2,True
l3leaf,s2-brdr1,Ethernet6,mlag_peer,s2-brdr2,Ethernet6,True
l3leaf,s2-brdr2,Ethernet1,mlag_peer,s2-brdr1,Ethernet1,True
l3leaf,s2-brdr2,Ethernet2,spine,s2-spine1,Ethernet8,True
l3leaf,s2-brdr2,Ethernet3,spine,s2-spine2,Ethernet8,True
l3leaf,s2-brdr2,Ethernet4,other,s2-core1,Ethernet3,True
l3leaf,s2-brdr2,Ethernet5,other,s2-core2,Ethernet3,True
l3leaf,s2-brdr2,Ethernet6,mlag_peer,s2-brdr1,Ethernet6,True
l3leaf,s2-leaf1,Ethernet1,mlag_peer,s2-leaf2,Ethernet1,True
l3leaf,s2-leaf1,Ethernet2,spine,s2-spine1,Ethernet2,True
l3leaf,s2-leaf1,Ethernet3,spine,s2-spine2,Ethernet2,True
l3leaf,s2-leaf1,Ethernet6,mlag_peer,s2-leaf2,Ethernet6,True
l3leaf,s2-leaf2,Ethernet1,mlag_peer,s2-leaf1,Ethernet1,True
l3leaf,s2-leaf2,Ethernet2,spine,s2-spine1,Ethernet3,True
l3leaf,s2-leaf2,Ethernet3,spine,s2-spine2,Ethernet3,True
l3leaf,s2-leaf2,Ethernet6,mlag_peer,s2-leaf1,Ethernet6,True
spine,s2-spine1,Ethernet2,l3leaf,s2-leaf1,Ethernet2,True
spine,s2-spine1,Ethernet3,l3leaf,s2-leaf2,Ethernet2,True
spine,s2-spine1,Ethernet7,l3leaf,s2-brdr1,Ethernet2,True
spine,s2-spine1,Ethernet8,l3leaf,s2-brdr2,Ethernet2,True
spine,s2-spine2,Ethernet2,l3leaf,s2-leaf1,Ethernet3,True
spine,s2-spine2,Ethernet3,l3leaf,s2-leaf2,Ethernet3,True
spine,s2-spine2,Ethernet7,l3leaf,s2-brdr1,Ethernet3,True
spine,s2-spine2,Ethernet8,l3leaf,s2-brdr2,Ethernet3,True
